,nombre,orden,familia,genus,nombre_comun,conservacion,invasivo,taxonConceptID,nombre2,subgenus,taxonRank
119,Jynx torquilla,Piciformes,Picidae,Jynx,Vendehals,0,0,8012314.0,,,species
120,Athene noctua,Strigiformes,Strigidae,Athene,Little Owl,1,0,2497266.0,,,species
121,Poecile palustris,Passeriformes,Paridae,Poecile,Marsh Tit,0,0,2487843.0,,,species
122,Phylloscopus bonelli,Passeriformes,Phylloscopidae,Phylloscopus,Western Bonelli's Warbler,0,0,2493070.0,,,species
123,Emberiza cia,Passeriformes,Emberizidae,Emberiza,Rock Bunting,1,0,2491498.0,,,species
124,Burhinus oedicnemus,Charadriiformes,Burhinidae,Burhinus,Triel,0,0,2482100.0,,,species
125,Phylloscopus trochilus,Passeriformes,Phylloscopidae,Phylloscopus,Willow Warbler,0,0,2493052.0,,,species
126,Anas crecca,Anseriformes,Anatidae,Anas,Čiksa,0,0,8214667.0,,,species
127,Neophron percnopterus,Accipitriformes,Accipitridae,Neophron,Egyptian Vulture,0,0,2480696.0,,,species
128,Numenius phaeopus,Charadriiformes,Scolopacidae,Numenius,Whimbrel,0,0,2481784.0,,,species
129,Falco naumanni,Falconiformes,Falconidae,Falco,Lille Tårnfalk,0,0,9584698.0,,,species
130,Motacilla flava,Passeriformes,Motacillidae,Motacilla,Western Yellow Wagtail,0,0,9701857.0,,,species
131,Larus fuscus,Charadriiformes,Laridae,Larus,Lesser Black-Backed Gull,0,0,2481174.0,,,species
132,Pyrrhocorax pyrrhocorax,Passeriformes,Corvidae,Pyrrhocorax,Red-Billed Chough,0,0,2482552.0,,,species
133,Circaetus gallicus,Accipitriformes,Accipitridae,Circaetus,Short-Toed Snake-Eagle,1,0,2480666.0,,,species
134,Calidris alba,Charadriiformes,Scolopacidae,Calidris,Drieteenstrandloper,1,0,2481748.0,,,species
135,Cinclus cinclus,Passeriformes,Cinclidae,Cinclus,White-Throated Dipper,1,0,2495093.0,,,species
